单位cm：
编号: x  y  z
1: 50 50 88
2: 50 100 88 
3: 50 150 88
4: 50 200 88
5: 50 250 88
6: 50 300 88
7: 50 350 88
8: 50 400 88
9: 50 450 88
10: 100 450 88
11: 100 400 88
12: 100 350 88
13: 100 300 88
14: 100 250 88
15: 100 200 88
16: 100 150 88
17: 100 100 88
18: 100 50 88 
19: 150 50 88
20: 150 100 88
21: 150 150 88
22: 150 200 88
23: 150 250 88
24: 150 300 88
25: 150 350 88
26: 150 400 88
27: 150 450 88
28: 200 450 88
29: 200 400 88
30: 200 350 88
31: 200 300 88
32: 200 250 88
33: 200 200 88
34: 200 150 88
35: 200 100 88
36: 200 50 88
37: 250 50 88
38: 250 100 88
39: 250 150 88
40: 250 200 88
41: 250 250 88
42: 250 300 88
43: 250 350 88
44: 250 400 88
45: 250 450 88
46: 300 450 88
47: 300 400 88
48: 300 350 88
49: 300 300 88
50: 300 250 88
51: 300 200 88
52: 300 150 88
53: 300 100 88
54: 300 50 88
55: 350 50 88
56: 350 100 88
57: 350 150 88
58: 350 200 88
59: 350 250 88
60: 350 300 88
61: 350 350 88
62: 350 400 88
63: 350 450 88
64: 400 450 88
65: 400 400 88
66: 400 350 88
67: 400 300 88
68: 400 250 88
69: 400 200 88
70: 400 150 88
71: 400 100 88
72: 400 50 88
73: 450 50 88
74: 450 100 88
75: 450 150 88
76: 450 200 88
77: 450 250 88
78: 450 300 88
79: 450 350 88
80: 450 400 88
81: 450 450 88
82: 50 50   130
83: 50 100 130 
84: 50 150 130
85: 50 200 130
86: 50 250 130
87: 50 300 130
88: 50 350 130
89: 50 400 130
90: 50 450 130
91: 100 450 130
92: 100 400 130
93: 100 350 130
94: 100 300 130
95: 100 250 130
96: 100 200 130
97: 100 150 130
98: 100 100 130
99: 100 50 130
100: 150 50 130
101: 150 100 130
102: 150 150 130
103: 150 200 130
104: 150 250 130
105: 150 300 130
106: 150 350 130
107: 150 400 130
108: 150 450 130
109: 200 450 130
110: 200 400 130
111: 200 350 130
112: 200 300 130
113: 200 250 130
114: 200 200 130
115: 200 150 130
116: 200 100 130
117: 200 50 130
118: 250 50 130
119: 250 100 130
120: 250 150 130
121: 250 200 130
122: 250 250 130
123: 250 300 130
124: 250 350 130
125: 250 400 130
126: 250 450 130
127: 300 450 130
128: 300 400 130
129: 300 350 130
130: 300 300 130
131: 300 250 130
132: 300 200 130
133: 300 150 130
134: 300 100 130
135: 300 50 130
136: 350 50 130
137: 350 100 130
138: 350 150 130
139: 350 200 130
